Severity,Finding,First Seen,Last Seen,Description
Low,Some Vulnerability idnuvirbal,2022-11-12 00:37:41,2022-06-15 22:15:50,Some Vulnerability
Medium,Some Vulnerability ruxlfcvkge,2023-10-19 11:05:09,2022-12-28 02:19:52,Some Vulnerability
Medium,Some Vulnerability rtmmghphdz,2023-05-21 01:12:06,2021-07-25 18:52:10,Some Vulnerability
Medium,Some Vulnerability zlyagjqcdw,2021-10-08 16:07:00,2020-08-25 10:02:58,Some Vulnerability
High,Some Vulnerability qodxsgtglp,2020-05-25 23:23:33,2020-01-11 14:03:40,Some Vulnerability
Medium,Some Vulnerability epwzobzohg,2023-02-02 18:28:36,2021-11-30 13:28:47,Some Vulnerability
Low,Some Vulnerability ougatwzmtk,2024-04-14 07:08:46,2022-06-27 05:54:43,Some Vulnerability
Medium,Some Vulnerability rajrihsjtp,2022-02-02 13:20:08,2020-09-02 23:22:47,Some Vulnerability
Medium,Some Vulnerability svvwsrxiju,2023-09-30 13:04:50,2020-03-11 04:52:06,Some Vulnerability
High,Some Vulnerability dempgonsnw,2020-10-15 03:43:08,2020-09-15 13:19:03,Some Vulnerability
Medium,Some Vulnerability zwzdtqlrkf,2020-09-12 19:29:53,2020-07-16 20:30:34,Some Vulnerability
High,Some Vulnerability icdiplatdy,2020-03-15 04:47:25,2020-02-07 14:18:07,Some Vulnerability
Low,Some Vulnerability yfyzwobein,2021-09-16 20:19:07,2020-11-21 19:28:21,Some Vulnerability
Medium,Some Vulnerability uxtmqbsnby,2021-06-14 08:04:10,2021-05-18 07:39:55,Some Vulnerability
High,Some Vulnerability gqrwllxlqj,2020-01-31 13:14:30,2020-01-28 00:37:56,Some Vulnerability
Low,Some Vulnerability aitlbppbbc,2022-03-03 05:15:40,2021-07-05 01:25:09,Some Vulnerability
Low,Some Vulnerability xktfsdmkjy,2023-09-15 09:24:53,2021-10-17 06:15:34,Some Vulnerability
Low,Some Vulnerability wbsedfqipc,2023-09-14 15:51:54,2021-04-15 13:46:17,Some Vulnerability
Medium,Some Vulnerability muxanzfcud,2020-06-08 12:33:29,2020-04-02 07:14:11,Some Vulnerability
Medium,Some Vulnerability dquziqgexc,2023-05-18 17:48:00,2020-10-19 01:17:29,Some Vulnerability
High,Some Vulnerability oqgbmqabti,2020-06-21 05:11:45,2020-01-31 20:37:19,Some Vulnerability
Low,Some Vulnerability ecblimipln,2021-08-29 23:11:29,2020-07-08 03:00:41,Some Vulnerability
Low,Some Vulnerability efqvkmzdql,2022-11-09 00:01:50,2021-03-13 10:58:39,Some Vulnerability
Medium,Some Vulnerability gzebmjxrfj,2023-05-29 06:04:13,2022-03-29 01:35:12,Some Vulnerability
Medium,Some Vulnerability oplftugueq,2021-07-27 11:44:54,2021-03-08 12:07:23,Some Vulnerability
Low,Some Vulnerability isiwujijva,2022-07-29 20:15:36,2020-02-12 20:24:16,Some Vulnerability
High,Some Vulnerability qsoiwobwkd,2021-02-17 16:59:36,2021-01-19 02:56:49,Some Vulnerability
High,Some Vulnerability nhumwmdieg,2021-11-11 00:25:35,2021-03-07 15:17:17,Some Vulnerability
Low,Some Vulnerability qgirjguqyc,2024-01-20 15:29:37,2020-11-27 08:46:32,Some Vulnerability
Medium,Some Vulnerability fcodnwhzxq,2021-10-01 08:36:03,2021-04-18 13:12:00,Some Vulnerability
Low,Some Vulnerability ghtkfkkavs,2023-08-27 21:45:06,2021-06-10 02:00:56,Some Vulnerability
High,Some Vulnerability fyozdxvjjw,2024-05-19 02:42:54,2023-01-11 14:08:24,Some Vulnerability
High,Some Vulnerability solhucupuw,2021-02-12 16:07:11,2020-10-05 13:08:54,Some Vulnerability
Medium,Some Vulnerability huyplbqigf,2024-01-03 14:27:53,2021-07-09 03:39:19,Some Vulnerability
Medium,Some Vulnerability jejruuooca,2023-08-07 09:45:35,2022-07-02 20:57:46,Some Vulnerability
Low,Some Vulnerability oadhfrowms,2021-12-21 04:32:17,2021-07-25 22:30:23,Some Vulnerability
Medium,Some Vulnerability kcmylsawdp,2021-02-09 10:54:46,2020-05-13 18:19:54,Some Vulnerability
Low,Some Vulnerability tmjqahcrds,2024-03-01 10:48:08,2023-08-26 10:58:52,Some Vulnerability
Medium,Some Vulnerability jpqmhopzcn,2023-03-10 17:13:14,2022-03-20 06:19:00,Some Vulnerability
Medium,Some Vulnerability ytookroehs,2023-10-25 09:15:42,2020-12-03 18:45:13,Some Vulnerability
Medium,Some Vulnerability smobzgytdc,2021-11-02 03:16:09,2021-03-18 08:10:15,Some Vulnerability
Low,Some Vulnerability njfjfwhdcx,2021-04-11 15:27:37,2021-03-25 12:34:26,Some Vulnerability
High,Some Vulnerability yecpiixisr,2023-07-17 20:30:49,2021-12-13 15:57:02,Some Vulnerability
High,Some Vulnerability meeojjzune,2022-08-31 00:47:15,2020-12-14 20:58:54,Some Vulnerability
Medium,Some Vulnerability tipxcpdipf,2020-07-15 01:29:57,2020-02-09 08:35:11,Some Vulnerability
High,Some Vulnerability taxegexaij,2024-01-21 00:22:53,2020-09-29 16:53:39,Some Vulnerability
High,Some Vulnerability qxejhryjbu,2021-08-07 06:30:26,2020-05-03 07:48:30,Some Vulnerability
High,Some Vulnerability stuphfdpbp,2021-12-20 03:33:23,2020-07-02 06:14:04,Some Vulnerability
High,Some Vulnerability hmxabodmip,2023-01-11 15:44:49,2021-02-18 02:34:18,Some Vulnerability
Medium,Some Vulnerability wbwmnunlzc,2021-08-02 20:56:57,2021-01-30 00:43:13,Some Vulnerability
High,Some Vulnerability ltqsfskwqi,2020-12-18 16:23:49,2020-03-30 21:12:07,Some Vulnerability
Medium,Some Vulnerability gdebvwxscw,2021-04-27 18:52:03,2020-02-25 17:16:38,Some Vulnerability
Medium,Some Vulnerability lbwvhgifqa,2023-05-15 06:22:03,2021-01-14 23:50:29,Some Vulnerability
Medium,Some Vulnerability tgxmcyfopd,2021-03-09 00:28:09,2021-01-27 07:12:19,Some Vulnerability
High,Some Vulnerability lgayconatf,2023-07-15 18:58:43,2022-10-12 11:20:20,Some Vulnerability
Low,Some Vulnerability jfolbmycmz,2020-10-17 15:22:46,2020-08-09 06:29:54,Some Vulnerability
Low,Some Vulnerability lxmqmkzwfp,2022-10-26 06:19:42,2022-02-19 18:25:59,Some Vulnerability
Medium,Some Vulnerability kmdnwffirf,2021-10-22 22:17:25,2020-09-25 02:04:02,Some Vulnerability
High,Some Vulnerability haznyxpvju,2024-04-11 12:07:45,2023-09-15 18:10:26,Some Vulnerability
High,Some Vulnerability rwsrsdptal,2022-07-05 07:33:20,2021-03-13 10:40:18,Some Vulnerability
Medium,Some Vulnerability osyayokyop,2024-02-02 20:47:29,2023-09-25 09:44:43,Some Vulnerability
Low,Some Vulnerability iwcgklwpyv,2020-05-01 13:52:41,2020-02-28 07:23:35,Some Vulnerability
Medium,Some Vulnerability vkzvlvflcw,2023-01-18 09:00:19,2020-02-13 18:09:14,Some Vulnerability
Low,Some Vulnerability vwzmvtrdzd,2020-12-30 14:03:41,2020-01-03 10:17:58,Some Vulnerability
Low,Some Vulnerability zrjqhwaljm,2020-02-23 17:48:41,2020-02-04 18:23:35,Some Vulnerability
Medium,Some Vulnerability uzkodvxxjk,2020-06-28 00:18:57,2020-02-16 03:01:10,Some Vulnerability
Low,Some Vulnerability hfmizqqgxt,2023-04-25 17:15:17,2021-10-09 00:20:40,Some Vulnerability
Low,Some Vulnerability aaikdwfjmd,2020-05-25 12:50:04,2020-02-07 11:29:24,Some Vulnerability
High,Some Vulnerability vzhjtdxgsh,2022-01-01 06:19:34,2021-03-29 20:07:19,Some Vulnerability
Low,Some Vulnerability bstvyepqug,2021-06-12 01:03:58,2020-07-13 13:07:24,Some Vulnerability
Low,Some Vulnerability nvstwpbjpz,2024-02-18 18:55:33,2020-01-22 14:11:44,Some Vulnerability
High,Some Vulnerability tqlbcqicwp,2023-10-31 11:57:22,2022-11-19 22:10:53,Some Vulnerability
Medium,Some Vulnerability cvnblhzgvq,2023-03-26 15:47:05,2022-01-22 12:48:34,Some Vulnerability
High,Some Vulnerability izlonthcnb,2024-02-26 02:54:47,2023-08-10 19:12:19,Some Vulnerability
Medium,Some Vulnerability pavsaptybb,2022-05-10 06:27:18,2020-10-04 05:50:06,Some Vulnerability
High,Some Vulnerability aqpkvgkgkm,2020-08-13 00:00:50,2020-05-30 12:02:44,Some Vulnerability
Medium,Some Vulnerability sivephukkn,2022-04-05 22:40:24,2020-07-10 16:11:20,Some Vulnerability
Medium,Some Vulnerability nwwtqwgyon,2020-11-11 16:09:10,2020-08-21 11:59:08,Some Vulnerability
High,Some Vulnerability xrprlkyzyj,2022-02-04 15:55:00,2021-12-26 04:15:36,Some Vulnerability
Low,Some Vulnerability njuaxnucfa,2021-01-17 01:55:37,2020-05-08 10:43:04,Some Vulnerability
Medium,Some Vulnerability tqpenrsysf,2022-10-17 03:35:43,2022-05-17 19:48:56,Some Vulnerability
High,Some Vulnerability vcfyuplcet,2020-08-27 09:23:06,2020-01-20 17:53:59,Some Vulnerability
Medium,Some Vulnerability igjjpasust,2021-12-30 18:52:21,2020-03-26 06:08:54,Some Vulnerability
Low,Some Vulnerability nybfkcxgaj,2021-04-19 23:51:30,2020-02-13 21:19:06,Some Vulnerability
High,Some Vulnerability tmcydzvjeo,2023-04-11 08:13:37,2021-02-21 00:21:27,Some Vulnerability
Low,Some Vulnerability bhhhpqoqov,2021-02-12 13:34:21,2020-08-25 23:40:16,Some Vulnerability
High,Some Vulnerability zfamcykyjk,2023-07-13 04:50:20,2021-12-24 06:18:07,Some Vulnerability
Medium,Some Vulnerability mktgumgfed,2020-09-18 22:02:41,2020-06-09 01:25:57,Some Vulnerability
High,Some Vulnerability zynvqwxhtr,2023-04-27 06:28:41,2021-09-01 08:42:37,Some Vulnerability
Low,Some Vulnerability pjopnfcnlv,2020-01-15 00:03:34,2020-01-01 19:20:17,Some Vulnerability
Low,Some Vulnerability qnjehpmlvw,2022-08-16 22:03:23,2022-04-27 19:27:14,Some Vulnerability
Medium,Some Vulnerability ofzigxdyqh,2020-04-05 10:23:58,2020-02-18 18:30:37,Some Vulnerability
Low,Some Vulnerability pqpvxrqljm,2020-07-17 21:53:26,2020-05-04 00:04:08,Some Vulnerability
High,Some Vulnerability irxxgxjvtv,2024-03-18 15:53:10,2020-04-11 07:32:54,Some Vulnerability
